PERSON_AGE,VEHICLE_ID,COLLISION_ID,SAFETY_EQUIPMENT,BODILY_INJURY,CONTRIBUTING_FACTOR_2,CONTRIBUTING_FACTOR_1,COMPLAINT,EMOTIONAL_STATUS,POSITION_IN_VEHICLE,PED_ACTION,PERSON_ID,PERSON_SEX_F,PERSON_SEX_M,PERSON_SEX_U,PERSON_TYPE_Bicyclist,PERSON_TYPE_Occupant,PERSON_TYPE_Other Motorized,PERSON_TYPE_Pedestrian,PED_LOCATION_Does Not Apply,PED_LOCATION_NAP,PED_LOCATION_Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,PED_LOCATION_Pedestrian/Bicyclist/Other Pedestrian at Intersection,PED_LOCATION_Unknown,EJECTION_Ejected,EJECTION_NAP,EJECTION_Not Ejected,EJECTION_Partially Ejected,EJECTION_Trapped,PED_ROLE_Driver,PED_ROLE_In-Line Skater,PED_ROLE_Other,PED_ROLE_Passenger,PED_ROLE_Pedestrian,PERSON_INJURY
0.1053377295313082,-2.4391456781264003,0.419270742964049,-0.1200517370156136,-1.800638401821171,0.1072106971815395,0.1705156288742672,-0.0146419820424051,-1.076540940224291,1.134199478747695,0.7358394830157661,0.8493947731636787,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1
-0.1782091549340876,0.4050513478707484,-0.8193917969769701,-2.807433534114029,-1.2975236276092874,0.1072106971815395,0.1705156288742672,0.5705546438863623,-1.076540940224291,-0.5434715019526976,0.2715402021590551,-1.3267337004291753,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,1
0.0436971024736134,-2.4391456781264003,0.3629035163993675,-0.1200517370156136,0.2118206950263635,0.1072106971815395,-2.330394458748143,0.3754891019101065,-1.076540940224291,1.134199478747695,-3.442854044694632,-0.60560527495435,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
0.3272439869390093,-2.4391456781264003,-0.9920527474205884,-0.1200517370156136,0.2118206950263635,0.1072106971815395,0.1705156288742672,0.5705546438863623,2.174760068214233,1.134199478747695,-2.9785547638379213,0.0846512383327974,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
-0.1042404024648539,0.4082284646787165,-0.5126770879958263,0.26385994828416,0.2118206950263635,0.1072106971815395,0.1705156288742672,0.5705546438863623,3.800410572433495,-0.8790056980927761,0.2715402021590551,1.1021348503365112,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1
1.0299471353967296,0.4003645342289658,-0.1083366670263683,0.26385994828416,0.2118206950263635,0.1072106971815395,0.1705156288742672,1.740947895743897,-1.076540940224291,1.134199478747695,0.2715402021590551,0.3851783048870477,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1
0.3888846139967041,-2.4391456781264003,1.5548233884352674,-0.1200517370156136,0.2118206950263635,0.1072106971815395,-2.330394458748143,0.5705546438863623,3.800410572433495,1.134199478747695,-2.0499562021244992,-0.2538020102701973,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1
-0.2151935311687045,-2.4391456781264003,-0.5240086438516128,-0.1200517370156136,-0.542851466291462,0.1072106971815395,-2.330394458748143,0.5705546438863623,-1.076540940224291,1.134199478747695,-2.0499562021244992,-0.0694807655132996,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1
-0.0425997754071591,-2.4391456781264003,1.6581875165300377,-0.1200517370156136,0.2118206950263635,0.1072106971815395,0.1705156288742672,0.5705546438863623,3.800410572433495,1.134199478747695,3.521635168156032,-0.5195886940677977,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
0.0683533532966913,-2.4391456781264003,-0.8959161180928101,-0.1200517370156136,0.2118206950263635,0.1072106971815395,-2.330394458748143,0.5705546438863623,3.800410572433495,1.134199478747695,1.200138763872477,-0.4677815293892129,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
0.1793064820005419,-2.4391456781264003,-0.1521374886996968,-0.1200517370156136,0.2118206950263635,0.1072106971815395,-2.330394458748143,1.740947895743897,-1.076540940224291,1.134199478747695,-3.442854044694632,0.8276251446676994,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
-0.1042404024648539,0.4153416785734117,0.4744394395824454,-1.6556984782147082,0.2118206950263635,0.1072106971815395,0.1705156288742672,0.5705546438863623,3.800410572433495,-0.8790056980927761,0.2715402021590551,0.4136987937877035,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1
0.4381971156428599,-2.4391456781264003,-1.3942140230331643,-0.1200517370156136,0.2118206950263635,0.1072106971815395,-2.330394458748143,1.3508168117913857,-1.076540940224291,1.134199478747695,2.5930366064426096,-0.0186596815679822,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1
0.4012127394082431,-2.4391456781264003,0.882702322194291,-0.1200517370156136,-0.542851466291462,0.1072106971815395,0.1705156288742672,0.7656201858626182,-1.076540940224291,1.134199478747695,-1.5856569212677885,-0.6579434061816172,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
