PERSON_AGE,VEHICLE_ID,COLLISION_ID,SAFETY_EQUIPMENT,BODILY_INJURY,CONTRIBUTING_FACTOR_2,CONTRIBUTING_FACTOR_1,COMPLAINT,EMOTIONAL_STATUS,POSITION_IN_VEHICLE,PED_ACTION,PERSON_ID,PERSON_SEX_F,PERSON_SEX_M,PERSON_SEX_U,PERSON_TYPE_Bicyclist,PERSON_TYPE_Occupant,PERSON_TYPE_Other Motorized,PERSON_TYPE_Pedestrian,PED_LOCATION_Does Not Apply,PED_LOCATION_NAP,PED_LOCATION_Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,PED_LOCATION_Pedestrian/Bicyclist/Other Pedestrian at Intersection,PED_LOCATION_Unknown,EJECTION_Ejected,EJECTION_NAP,EJECTION_Not Ejected,EJECTION_Partially Ejected,EJECTION_Trapped,PED_ROLE_Driver,PED_ROLE_In-Line Skater,PED_ROLE_Other,PED_ROLE_Passenger,PED_ROLE_Pedestrian,PERSON_INJURY
0.0914311759343664,0.0,0.147558527064632,0.6666666666666666,0.3846153846153846,0.9473684210526316,0.9736842105263156,0.2777777777777778,0.0,0.7000000000000001,0.125,0.4259656652360515,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
0.0927073837739289,0.0,0.4008071995678648,0.6666666666666666,0.6153846153846154,0.9473684210526316,0.8684210526315789,0.4444444444444444,0.0,0.7000000000000001,0.0,0.6019970219847596,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
0.0948040109389243,0.9955898393454972,0.2301537959782749,0.6666666666666666,0.1538461538461538,0.9473684210526316,0.9736842105263156,0.4444444444444444,0.0,0.1,0.5,0.6336822282561093,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1
0.0937101185050136,0.9856839346740478,0.0006217067378742,0.2,0.3846153846153846,0.9473684210526316,0.9736842105263156,0.4444444444444444,0.0,0.2,0.5,0.0703994043969519,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1
0.0916134913400182,0.0,0.2300824525821241,0.6666666666666666,0.3846153846153846,0.9473684210526316,0.7368421052631579,0.2777777777777778,0.0,0.7000000000000001,0.5625,0.0351011649294911,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1
0.0968094804010939,0.0,0.6427428478245361,0.6666666666666666,0.6153846153846154,0.9473684210526316,0.9736842105263156,0.2777777777777778,0.0,0.7000000000000001,0.0625,0.4964088639747744,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
0.0951686417502279,0.0,0.3883628728966499,0.6666666666666666,0.6153846153846154,0.9473684210526316,0.7368421052631579,0.4444444444444444,0.0,0.7000000000000001,0.875,0.7065779101340107,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,1
0.0938012762078395,0.0,0.5071903951404977,0.6666666666666666,0.6153846153846154,0.9473684210526316,0.9736842105263156,0.2777777777777778,0.0,0.7000000000000001,0.9375,0.8799378120346851,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,1
0.0906107566089334,0.9986597662596952,0.8211930654218946,0.7333333333333333,0.6153846153846154,0.9473684210526316,0.9736842105263156,0.4444444444444444,0.8571428571428571,0.2,0.5,0.0973329245861434,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1
0.0916134913400182,0.9994416687282524,0.9473689574691448,0.2,0.1538461538461538,0.9473684210526316,0.9736842105263156,0.4444444444444444,0.0,0.9,0.5,0.9986642725759832,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,1
