,PERSON_AGE,VEHICLE_ID,COLLISION_ID,PERSON_SEX_F,PERSON_SEX_M,PERSON_SEX_U,PERSON_TYPE_Bicyclist,PERSON_TYPE_Occupant,PERSON_TYPE_Other Motorized,PERSON_TYPE_Pedestrian,PED_LOCATION_Does Not Apply,PED_LOCATION_NAP,PED_LOCATION_Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,PED_LOCATION_Pedestrian/Bicyclist/Other Pedestrian at Intersection,PED_LOCATION_Unknown,EJECTION_Ejected,EJECTION_NAP,EJECTION_Not Ejected,EJECTION_Partially Ejected,EJECTION_Trapped,PED_ROLE_Driver,PED_ROLE_In-Line Skater,PED_ROLE_Other,PED_ROLE_Passenger,PED_ROLE_Pedestrian,SAFETY_EQUIPMENT,BODILY_INJURY,CONTRIBUTING_FACTOR_2,CONTRIBUTING_FACTOR_1,COMPLAINT,EMOTIONAL_STATUS,POSITION_IN_VEHICLE,PED_ACTION,PERSON_ID,PERSON_INJURY
293,30.0,19971716.0,4429709,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,11,12,36,37,2,1,1,8,15617,0
410,17.0,0.0,4382676,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,9,36,37,2,1,7,1,11759,0
210,31.0,0.0,4462333,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,10,5,36,37,8,0,7,10,39270,1
279,16.0,0.0,4429679,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,13,36,37,2,1,7,9,7241,0
457,29.0,20077290.0,4463974,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,11,10,36,37,2,1,1,8,207,0
397,33.0,20071501.0,4461168,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,6,10,36,37,2,1,1,8,26770,0
123,36.0,19986169.0,4430850,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,6,5,36,37,5,0,1,8,27268,1
275,43.0,19828549.0,4382858,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,3,5,36,37,12,1,1,8,36210,0
445,26.0,20007857.0,4413095,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,3,5,36,37,2,1,1,8,32366,0
32,92.0,0.0,4396615,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,5,36,28,8,0,7,1,9999,1
332,54.0,19950580.0,4416769,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,7,4,7,8,38627,0
388,23.0,19973279.0,4404835,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,1,36,37,18,1,1,8,32869,0
194,68.0,0.0,4455073,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,8,36,37,8,0,7,2,1388,1
205,23.0,20082973.0,4461288,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,11,8,36,37,8,6,2,8,4445,1
439,26.0,19854395.0,4394848,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,15,1,36,37,18,1,6,8,32570,0
180,70.0,0.0,4456041,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,10,5,36,37,9,0,7,4,14160,1
338,27.0,19952783.0,4406632,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,11,36,37,2,1,1,8,8764,0
271,58.0,0.0,4445697,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,12,36,37,2,1,7,1,22974,0
367,39.0,20012907.0,4435020,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,9,9,36,37,2,2,1,8,17152,0
152,10.0,20029168.0,4442158,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,10,8,36,37,5,0,2,8,14582,1
356,38.0,0.0,4436883,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,11,10,36,37,4,1,1,4,35115,0
423,47.0,19826508.0,4382394,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,5,36,37,18,1,1,8,23465,0
120,31.0,20005608.0,4427753,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,6,8,36,37,8,6,1,8,38641,1
216,62.0,20088398.0,4465371,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,2,36,37,8,0,7,8,17156,1
140,46.0,0.0,4443281,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,0,36,37,5,0,7,9,34032,1
172,35.0,20040806.0,4447626,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,6,8,36,37,8,6,1,8,23963,1
268,31.0,19860685.0,4397936,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,7,10,36,37,2,1,7,8,24720,0
189,62.0,0.0,4453656,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,5,36,28,5,0,7,3,18905,1
65,57.0,0.0,4410387,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,2,36,37,5,0,7,1,37051,1
344,33.0,19911828.0,4420844,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,3,11,36,37,2,1,6,8,5419,0
449,82.0,0.0,4425996,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,37,9,1,7,10,21189,0
229,25.0,20086728.0,4468192,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,8,0,1,8,4116,1
126,25.0,19983427.0,4430829,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,14,0,7,8,24302,1
307,28.0,19837569.0,4387521,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,11,13,36,37,2,1,6,8,5627,0
329,18.0,19989752.0,4434067,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,12,36,37,2,1,1,8,11467,0
245,69.0,0.0,4474547,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,28,8,6,7,3,19488,1
90,52.0,0.0,4419564,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,8,36,28,8,0,7,0,5279,1
138,24.0,20060359.0,4456653,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,8,0,7,8,16160,1
130,23.0,20008986.0,4432786,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,11,8,36,37,8,0,2,8,16221,1
408,34.0,19998383.0,4432958,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,1,36,37,2,1,1,8,10811,0
366,28.0,20074418.0,4460549,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,7,10,36,37,2,1,7,8,23681,0
168,23.0,20035496.0,4445442,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,6,5,36,37,12,0,1,8,32050,1
474,20.0,20018884.0,4437762,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,15,8,36,37,2,1,1,8,36144,0
431,36.0,20083559.0,4464357,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,11,13,36,37,17,1,10,8,24316,0
190,52.0,20083400.0,4453643,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,15,5,36,37,8,6,1,8,43119,1
454,30.0,20044521.0,4449667,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,11,9,36,37,12,1,7,8,43588,0
443,47.0,19953146.0,4413168,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,12,12,36,37,2,1,7,8,17005,0
433,23.0,20025430.0,4440853,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,11,8,36,37,0,4,7,8,3259,0
357,33.0,20043307.0,4448422,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,5,36,37,2,1,1,8,21780,0
488,64.0,20087355.0,4468362,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,10,11,36,37,8,1,4,8,1828,0
73,37.0,19986848.0,4412249,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,6,8,36,37,8,0,1,8,14460,1
107,40.0,20036618.0,4422826,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,15,13,36,37,17,0,1,8,9852,1
325,40.0,0.0,4381610,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,9,36,13,12,1,7,3,8149,0
499,27.0,19967906.0,4409904,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,10,1,36,37,2,1,9,8,23336,0
496,23.0,19977195.0,4427201,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,6,10,36,37,9,1,4,8,20951,0
