PERSON_AGE,VEHICLE_ID,COLLISION_ID,PERSON_SEX_F,PERSON_SEX_M,PERSON_SEX_U,PERSON_TYPE_Bicyclist,PERSON_TYPE_Occupant,PERSON_TYPE_Other Motorized,PERSON_TYPE_Pedestrian,PED_LOCATION_Does Not Apply,PED_LOCATION_NAP,PED_LOCATION_Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,PED_LOCATION_Pedestrian/Bicyclist/Other Pedestrian at Intersection,PED_LOCATION_Unknown,EJECTION_Ejected,EJECTION_NAP,EJECTION_Not Ejected,EJECTION_Partially Ejected,EJECTION_Trapped,PED_ROLE_Driver,PED_ROLE_In-Line Skater,PED_ROLE_Other,PED_ROLE_Passenger,PED_ROLE_Pedestrian,SAFETY_EQUIPMENT,BODILY_INJURY,CONTRIBUTING_FACTOR_2,CONTRIBUTING_FACTOR_1,COMPLAINT,EMOTIONAL_STATUS,POSITION_IN_VEHICLE,PED_ACTION,PERSON_ID,PERSON_INJURY
72.0,20078753.0,4459180,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,15,13,36,37,17,6,1,8,11522,1
34.0,20095966.0,4460303,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,6,5,36,37,8,0,1,8,13804,1
23.0,20082973.0,4461288,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,11,8,36,37,8,6,2,8,4445,1
44.0,20071922.0,4461286,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,8,0,7,8,40394,1
38.0,0.0,4461668,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,5,36,28,8,0,7,3,15080,1
90.0,0.0,4462331,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,8,36,37,8,0,7,1,24525,1
23.0,20079377.0,4464988,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,17,7,1,8,35786,1
31.0,0.0,4462333,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,10,5,36,37,8,0,7,10,39270,1
16.0,20102931.0,4464370,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,15,2,36,37,8,0,9,8,23104,1
39.0,20075565.0,4463262,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,14,0,7,8,33290,1
32.0,20082542.0,4463263,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,6,8,36,37,8,6,1,8,24657,1
81.0,0.0,4464559,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,11,36,37,7,0,7,1,45664,1
40.0,20080343.0,4464778,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,6,8,36,37,8,0,1,8,43506,1
62.0,20088398.0,4465371,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,2,36,37,8,0,7,8,17156,1
38.0,20080066.0,4465373,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,0,13,36,37,8,0,1,8,36578,1
95.0,0.0,4464892,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,5,26,28,2,1,7,3,28287,1
18.0,0.0,4466279,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,28,8,0,7,10,32710,1
35.0,0.0,4466053,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,10,5,36,37,8,0,7,10,39895,1
32.0,20083131.0,4466536,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,7,5,36,37,5,0,7,8,427,1
66.0,20088710.0,4469160,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,9,1,7,8,11891,1
36.0,20102373.0,4475458,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,8,0,1,8,37542,1
68.0,0.0,4467112,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,8,36,37,8,6,7,1,4322,1
30.0,20091024.0,4467504,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,11,8,36,37,8,0,1,8,4774,1
66.0,20103622.0,4467708,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,10,13,36,37,17,6,1,8,42157,1
56.0,20085675.0,4467747,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,11,5,36,37,8,0,7,8,35635,1
42.0,20086158.0,4468191,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,3,5,36,37,8,0,1,8,33778,1
25.0,20086728.0,4468192,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,8,0,1,8,4116,1
22.0,20088723.0,4468548,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,11,8,36,37,8,0,4,8,36798,1
27.0,0.0,4468965,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,28,8,6,7,3,20822,1
55.0,20087193.0,4468597,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,8,0,7,8,22052,1
39.0,0.0,4471036,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,5,36,28,5,6,7,3,35038,1
51.0,20103301.0,4469899,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,6,0,36,37,8,6,1,8,36932,1
63.0,0.0,4472717,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,5,26,33,8,0,7,0,18168,1
43.0,0.0,4470592,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,28,14,0,7,10,43072,1
33.0,0.0,4470590,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,5,36,28,5,0,7,3,26572,1
2.0,0.0,4470595,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,5,36,37,8,0,7,5,1945,1
58.0,0.0,4472056,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,28,5,0,7,10,45074,1
51.0,0.0,4472335,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,10,5,36,28,5,6,7,4,32768,1
2.0,0.0,4472716,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,5,36,37,8,0,7,15,42028,1
34.0,20098697.0,4473668,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,3,2,36,37,8,0,9,8,45607,1
24.0,20102048.0,4473468,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,11,5,36,37,5,6,1,8,5096,1
58.0,20099711.0,4474072,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,8,5,36,37,5,0,7,8,12237,1
69.0,0.0,4474547,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,28,8,6,7,3,19488,1
46.0,20104858.0,4476600,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,11,8,36,37,8,0,1,8,43605,1
78.0,0.0,4476053,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,2,36,28,8,0,7,3,17967,1
33.0,0.0,4476909,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,28,8,0,7,3,39354,1
28.0,20106827.0,4477267,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,15,5,36,37,8,0,1,8,1674,1
56.0,0.0,4477266,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,5,36,28,8,0,7,10,30158,1
34.0,0.0,4477393,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,10,8,36,37,8,6,7,15,15984,1
80.0,0.0,4478022,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,10,8,36,28,8,6,7,10,33810,1
